place,beckey,year
Mt. Huntington,0,1967
Mt. Huntington,0,1967
Mt. Huntington,0,1967
Mt. Huntington,0,1967
Mt. Huntington,0,1968
Mt. Huntington,0,1969
Mt. Huntington,0,1969
Mt. Huntington,0,1972
Mt. Huntington,0,1973
Mt. Huntington,0,1973
Mt. Huntington,0,1974
Mt. Huntington,0,1976
Mt. Huntington,0,1977
Mt. Huntington,0,1977
Mt. Huntington,0,1977
Mt. Huntington,0,1979
Mt. Huntington,0,1979
Mt. Huntington,0,1979
Mt. Huntington,0,1979
Mt. Huntington,0,1979
Mt. Huntington,0,1979
Mt. Huntington,0,1979
Mt. Huntington,0,1979
Mt. Huntington,0,1980
Mt. Huntington,0,1980
Mt. Huntington,0,1980
Mt. Huntington,0,1980
Mt. Huntington,0,1981
Mt. Huntington,0,1981
Mt. Huntington,0,1981
Mt. Huntington,0,1982
Mt. Huntington,0,1982
Mt. Huntington,0,1982
Mt. Huntington,0,1983
Mt. Huntington,0,1984
Mt. Huntington,0,1984
Mt. Huntington,0,1984
Mt. Huntington,0,1985
Mt. Huntington,0,1985
Mt. Huntington,0,1985
Mt. Huntington,0,1986
Mt. Huntington,0,1986
Mt. Huntington,0,1987
Mt. Huntington,0,1989
Mt. Huntington,0,1990
Mt. Huntington,0,1991
Mt. Huntington,0,1992
Mt. Huntington,0,1992
Mt. Huntington,0,1992
Mt. Huntington,0,1992
Mt. Huntington,0,1992
Mt. Huntington,0,1993
Mt. Huntington,0,1993
Mt. Huntington,0,1993
Mt. Huntington,0,1994
Mt. Huntington,0,1994
Mt. Huntington,0,1994
Mt. Huntington,0,1995
Mt. Huntington,0,1995
Mt. Huntington,0,1996
Mt. Huntington,0,1998
Mt. Huntington,0,1999
Mt. Huntington,0,2000
Mt. Huntington,0,2001
Mt. Huntington,0,2001
Mt. Huntington,0,2001
Mt. Huntington,0,2002
Mt. Huntington,0,2002
Mt. Huntington,0,2003
Mt. Huntington,0,2003
Mt. Huntington,0,2003
Mt. Huntington,0,2005
Mt. Huntington,0,2006
Mt. Huntington,0,2006
Mt. Huntington,0,2006
Mt. Huntington,0,2006
Mt. Huntington,0,2007
Mt. Huntington,0,2009
Mt. Huntington,0,2010
Mt. Huntington,0,2012
Mt. Huntington,0,2015
Cascade Range,0,2007
Cascade Range,0,2007
Cascade Range,0,2007
Cascade Range,0,2007
Cascade Range,0,2007
Cascade Range,0,2007
Cascade Range,0,2007
Cascade Range,0,2007
Cascade Range,0,2007
Cascade Range,0,2007
Cascade Range,0,2007
Cascade Range,0,2006
Cascade Range,0,2005
Cascade Range,0,2005
Cascade Range,0,2005
Cascade Range,0,2005
Cascade Range,0,2005
Cascade Range,0,2005
Cascade Range,0,2005
Cascade Range,0,2005
Cascade Range,0,1995
Cascade Range,0,1988
Cascade Range,0,1988
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1980
Cascade Range,0,1978
Cascade Range,0,1976
Cascade Range,0,1974
Cascade Range,0,1974
Cascade Range,0,1967
Cascade Range,0,1966
Cascade Range,0,1962
Cascade Range,0,1960
Cascade Range,1,1956
Cascade Range,0,1945
Cascade Range,0,1936
Cascade Range,0,1936
